Score,Time,Summary,Text,Sentiment,AI_Sentiment_Score,AI_Sentiment
4,2006-03-05,I like these!,"These are actually very tasty.  Pure potatoes with a great texture and no nasty filler ""stuff.""  No bacon, no cheese...just tasty potatoes.  They cook well in either the oven or microwave.  I add a touch of either salt & pepper or fajita seasoning to spice it up.  I rated 4 out of 5 stars because they could be a bit bigger portion.  However, this item is a fairly good value for the money.",Positive,0.3182,Positive
4,2010-02-06,Good but subjectively not 5 star,"I realize that taste is a matter of personal preference so food reviews are always going to be hit or miss for your tastes. Got the cookies, liked them but they didn't quite send me the way other folks seem to take to them. Not bad and I don't feel I wasted my money but I'll probably look for something else next time I'm ordering snacks for work.",Positive,0.8346,Positive
5,2012-10-16,"Lipton Cup A Soup, Spring Vegetable.4 oz","This is one of my Favorite cup of soup choices, but it is never carried in any of the stores in my area.<br />So glad i could order itfrom Amazon.com.  I recently moved to FL from CT and have been craving this product and now I can enjoy it to my hearts content.  It has a wonderful flavor and goes so well with my cracker and cheese combo.  I would recommend it to everyone. It's resonably priced and each box contains 4-4oz packages which yield a nice hot cut of soup.  It travels well and can easily be made in the Microwave Oven at home, work or away on vacation.",Positive,0.9848,Positive
4,2007-04-20,"Suited to its purpose, if not quite its goal...","If you like the classic taste of a good margarita, it's likely you'll find Baja Bob's Margarita Mix to be an acquired taste at best and a cruel joke at worst.  Not that it tastes horrible, but like most contests between similar products that are sugar-based and sugar-free, the recipe for which you already have a preference is going to win despite the competition's particular and sometimes overwhelming merits.  Since I've decided to limit my sugar intake but not my affection for margaritas, this tequila mixer is best suited to take care of the problem, so I've decided to stick with it and learn to like it.  Over time I've at least grown accustomed to the taste (adding extra Triple Sec helps), even if I can't say it's the best improvement to margaritas since the salt rimmed glass.  Splenda certainly works better in some things than others.  In this case it's a qualified success with taste taking a subjective second place to functionality.  I don't love it or hate it, but I don't miss the sugar either.  To that end Baja Bob's Margarita Mix does what it's supposed to do very well.",Positive,0.9889,Positive
2,2011-08-27,Tastes artificial!,"I was willing to give this a chance even after reading that scathing review by another poster, but I wish I had just listened in the first place.<br /><br />Without adding cardamom or cloves, I made the tea as per the instructions and steeped it for 15 minutes. After cooling it down some, I made my first glass and sipped. Hmm... weird. I sipped again. Yep, this definitely tastes artificial. That distinct thai tea flavor was there, but I felt like I had drank something that my body didn't like. This manifested most strongly in the form of a strange aftertaste, part Thai Tea (on the surface)  and part VERY strong cheap chemically-treated green tea, which I had never experienced in any Thai restaurant.<br /><br />This tea mix is okay if you're not too picky, but I would rather do without the aftertaste and the rigorous processing and manufacturing it reminds me of.",Negative,0.9755,Positive
5,2008-07-04,dog loves chicken fillets,can't keep enough of these treats in the house.// glad i discovered them and so is the dog,Positive,0.4588,Positive
5,2010-03-19,"Chipotle Tabasco sauce,  how do I love thee?....","I LOVE this stuff. Imagine my joy to find it in a gallon sized container!! buying as many 5oz bottles is $64...I'm going to buy this and keep the small bottles and fill them up again. Oh happy day!! Put it on eggs, hot wings, in soups and stews, beans, on tacos, in potato salad, let your imagination run wild...it's fantastic!! Wings - for the sauce butter, Crystal Hot Sauce (oh yes, it's the best, too!) Chipotle Tabasco, a squeeze or two of lime and some garlic powder or  fresh garlic minced...toss your wings in this and you'll be HAPPY! if you heat up the sauce first and then stir in the cold butter, it will thicken up and cling to the wings even better. Enjoy!",Positive,0.9898,Positive
5,2012-05-18,Dbp323,"Recommend it to all.  Lovely natural sweet delicate flavor and add some raw honey is a great cold kicker.  I loved it during a URI, upper respiratory infection and it was fabulous.  Soothed my sore throat and helped ease the coughing.  I now brew it for cold tea as well.  Very refresshing.",Positive,0.9776,Positive
5,2008-06-16,Heavenly hot dogs!,"A totally wonderful product!  The flavor is incredible, and will make a hot-dog a ""dining experience"" not to be forgotten.  It's more than wonderful on corned beef or pastrami as well, or anything else you would use mustard on.  Would probably be great in other dishes, but I was too frugal to use in my potato salad.  We were served this in a restaurant in South Carolina, and told it could only be ordered on-line.  One complaint - wish it came in a larger jar!",Positive,0.8677,Positive
5,2010-12-16,spicy thai chips,"TOTALLY ORGASMIC.  these chips are the best spicy chip i have ever tasted.  signed up for the subscribe and save option.  the case contained 15(FIFTEEN, FULL SIZED BAGS) OF CHIPS.  the price per unit equals $1.73  per package.  that is not even the cost of plain chips.  if you add the free shipping and the fast delivery, this deal is a steal.  so run like you stole something over to your computer and order the SPICY THAI CHIPS.  p.s.  even if you paid the going price of $30.00, you are still ahead of the curve.  ENJOY",Positive,0.935,Positive
